"Name","Type","Unlock Prerequisite","Research Scrolls","Antique Tokens","Tier","Value","Crafting Time (seconds)","Crafting Time (formatted)","Value / Crafting Time","Merchant XP","Merchant XP / Crafting Time","Worker XP","Fusion XP","Favor","Airship Power","","Required Worker ","Worker Level","Required Worker","Worker Level","Required Worker","Worker Level","","","","","","","","","","","","","","","Component","Component Quality","Amount Needed","Component","Component Quality","Amount Needed","","ATK","DEF","HP","EVA","CRIT","Mana Shield","","Elemental Affinity","Spirit Affinity","Built-In Element","Built-In Spirit","","Crafting Upgrade 1","Crafts Needed","Crafting Upgrade 2","Crafts Needed","Crafting Upgrade 3","Crafts Needed","Crafting Upgrade 4","Crafts Needed","Crafting Upgrade 5","Crafts Needed","","Starforged Milestone 1","Crafts Needed","Starforged Milestone 2","Crafts Needed","Starforged Milestone 3","Crafts Needed","Starforged Milestone 4","Crafts Needed","Starforged Milestone 5","Crafts Needed","","Ascension Upgrade 1","Shards Needed","Ascension Upgrade 2","Shards Needed","Ascension Upgrade 3","Shards Needed","Transcendence Upgrade 1","Seals Needed","Transcendence Upgrade 2","Seals Needed","Transcendence Upgrade 3","Seals Needed","","Discount Energy","Surcharge Energy","Suggest Energy","Speed Up Energy","","Is Antique starting on (UTC)",""
"Mundra's Remedy","Potion","The Moon Dragon Pack","120","","12","2,850,000","68,400","19:00:00","41.67","210,000","3.07","6,300","31,500","4,782","771","","Moon Dragon","29","Herbalist","25","Priestess","22","","","---","---","387","","---","---","113","41","---","---","---","","Sigil of True Spark","---","1","Chronos Crystal","---","5","","","222","101","---","---","---","","---","---","---","Mundra's Spirit","","-20% Craft Time Reduction","6","-77 Herbs Spent","14","x1.25 Value Increase","26","Blueprint: Mundra's Aegis","40","Quality Chance x2","60","","+20% Surcharge Value","10","-10% Surcharge Cost","20","+10% Multicraft Chance","35","x1.25 Value Increase","55","+25% Base ATK, DEF and HP","85","","-8 Ether Spent","80","-28 Oils Spent","80","+10% Multicraft Chance","80","HP +21","80","ATK +43","80","+10% Base ATK, DEF and HP","80","","1,455","3,235","645","3,290","","",""
"Quintessence Purity","Potion","Molten Chest","---","","12","2,700,000","81,000","22:30:00","33.33","220,000","2.72","3,300","16,500","5,488","595","","Herbalist","30","Priestess","26","Wizard","23","","","---","---","404","","---","---","123","46","---","---","---","","Sigil of True Spark","---","1","Crystal Lullaby","---","6","","","---","119","---","---","---","","---","---","Torrent Element","---","","-101 Herbs Spent","6","-20% Craft Time Reduction","14","-18 Oils Spent","26","x1.25 Value Increase","40","Quality Chance x2","60","","+20% Surcharge Value","10","-10% Surcharge Cost","20","+10% Multicraft Chance","35","x1.25 Value Increase","55","+25% Base ATK, DEF and HP","85","","-9 Ether Spent","80","-1 Crystal Lullaby Spent","80","+10% Multicraft Chance","80","HP +22","80","ATK +44","80","+10% Base ATK, DEF and HP","80","","1,405","3,120","625","3,465","","",""
"Supreme Sunscreen","Potion","Beach Party Superior Pack","---","350","12","2,850,000","81,000","22:30:00","35.19","220,000","2.72","3,300","16,500","5,209","587","","Herbalist","30","Priestess","26","Sun Dragon","23","","","---","---","404","","---","---","123","---","36","---","---","","Sigil of True Spark","---","1","Crush Claw","---","2","","178","---","89","---","---","---","","Fire, Light","---","---","---","","-81 Herbs Spent","6","-18 Oils Spent","14","x1.25 Value Increase","26","-7 Jewels Spent","40","Quality Chance x2","60","","+20% Surcharge Value","10","-10% Surcharge Cost","20","+10% Multicraft Chance","35","x1.25 Value Increase","55","+25% Base ATK, DEF and HP","85","","-20% Craft Time Reduction","80","-18 Oils Spent","80","+10% Multicraft Chance","80","HP +22","80","DEF +14","80","+10% Base ATK, DEF and HP","80","","1,465","3,260","650","3,465","","January 23, 2023",""
"Maple Holy Grail","Potion","Sugar Shack Superior Pack","---","350","12","3,000,000","96,000","26:40:00","31.25","235,000","2.45","3,525","17,625","6,249","680","","Herbalist","31","Priestess","27","Cook","24","","","---","---","421","","---","---","134","50","---","---","---","","Sigil of True Might","---","1","Magma Core","---","2","","","183","92","---","---","---","","Earth","---","---","---","","-84 Herbs Spent","6","-84 Herbs Spent","14","x1.25 Value Increase","26","-10 Ether Spent","40","Quality Chance x2","60","","+20% Surcharge Value","10","-10% Surcharge Cost","20","+10% Multicraft Chance","35","x1.25 Value Increase","55","+25% Base ATK, DEF and HP","85","","-20% Craft Time Reduction","80","-27 Oils Spent","80","+10% Multicraft Chance","80","HP +23","80","ATK +46","80","+10% Base ATK, DEF and HP","80","","1,505","3,340","670","3,645","","September 4, 2023",""
"Conqueror's Blood","Potion","---","200","","13","5,350,000","113,400","31:30:00","47.18","250,000","2.2","3,750","18,750","6,656","545","","Herbalist","32","Priestess","28","Wizard","25","","","---","---","438","","---","---","---","39","---","5","---","","Outsider's Claw","---","3","Grim Talon","---","4","","","---","109","---","---","---","","Fire","Phoenix Immortality","---","---","","-20% Craft Time Reduction","4","-88 Herbs Spent","10","x1.25 Value Increase","18","Blueprint: Tincture of Finality","30","Quality Chance x2","45","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","40","+25% Base ATK, DEF and HP","65","","-1 Essence Spent","100","-1 Outsider's Claw Spent","100","+10% Multicraft Chance","100","HP +27","100","ATK +55","100","+10% Base ATK, DEF and HP","100","","1,985","4,410","880","3,830","","",""
"Satchel of Essentials","Potion","Arcade Mega Pack","---","375","13","5,550,000","113,400","31:30:00","48.94","250,000","2.2","3,750","18,750","7,164","807","","Herbalist","32","Priestess","28","Wizard","25","","","---","---","426","","---","---","---","52","---","5","---","","All-Seeing Eye","---","2","Crystal Lullaby","---","4","","","218","109","---","---","---","","---","Carbuncle Whimsy","---","---","","-85 Herbs Spent","4","-20% Craft Time Reduction","10","x1.25 Value Increase","18","-13 Ether Spent","30","Quality Chance x2","45","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","40","+25% Base ATK, DEF and HP","65","","-1 Crystal Lullaby Spent","100","-1 Essence Spent","100","+10% Multicraft Chance","100","HP +27","100","ATK +55","100","+10% Base ATK, DEF and HP","100","","2,020","4,490","900","3,830","","November 12, 2023",""
"Billionaire Brew","Potion","Office Mega Pack","---","375","13","5,800,000","113,400","31:30:00","51.15","250,000","2.2","3,750","18,750","7,238","719","","Herbalist","32","Priestess","28","Wizard","25","","","---","---","430","","---","---","---","56","---","5","---","","Magma Core","---","4","Spooky Ectoplasm","---","6","","218","---","109","---","---","---","","Dark","---","---","---","","-86 Herbs Spent","4","-14 Ether Spent","10","-20% Craft Time Reduction","18","x1.25 Value Increase","30","Quality Chance x2","45","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","40","+25% Base ATK, DEF and HP","65","","-1 Magma Core Spent","100","+10% Multicraft Chance","100","-1 Essence Spent","100","HP +27","100","DEF +17","100","+10% Base ATK, DEF and HP","100","","2,065","4,585","915","3,830","","March 3, 2024",""
"Fragrant Moisturizer","Potion","Self-Care Mega Pack","---","375","13","5,900,000","134,400","37:20:00","43.9","265,000","1.97","3,975","19,875","8,496","889","","Herbalist","34","Priestess","30","Wizard","27","","","---","---","446","","---","---","---","54","---","6","---","","All-Seeing Eye","---","5","---","---","","","","270","113","---","---","---","","Water","---","---","---","","-16 Ether Spent","4","-20% Craft Time Reduction","10","x1.25 Value Increase","18","-1 All-Seeing Eye Spent","30","Quality Chance x2","45","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","40","+25% Base ATK, DEF and HP","65","","-1 All-Seeing Eye Spent","100","+10% Multicraft Chance","100","+10% Multicraft Chance","100","HP +28","100","ATK +57","100","+10% Base ATK, DEF and HP","100","","2,080","4,625","925","4,015","","April 28, 2024",""
"Tincture of Finality","Potion","---","250","","14","10,500,000","187,800","52:10:00","55.91","290,000","1.54","4,350","21,750","10,130","680","","Herbalist","36","Priestess","32","Wizard","29","","","---","---","462","","---","---","---","57","---","8","---","","Heaven's Crest","---","3","Zirconia Eggshell","---","2","","","---","136","---","---","---","","Light, Dark","---","---","---","","-20% Craft Time Reduction","4","-14 Ether Spent","10","x1.25 Value Increase","18","Blueprint: Primal Fire","30","Quality Chance x2","45","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","40","+25% Base ATK, DEF and HP","65","","-2 Essence Spent","120","-116 Herbs Spent","120","+10% Multicraft Chance","120","HP +34","120","ATK +68","120","+10% Base ATK, DEF and HP","120","","2,725","6,055","1,210","4,410","","",""
"Protein Shake","Potion","Summer Vibes Mega Pack","---","400","14","11,500,000","187,800","52:10:00","61.24","290,000","1.54","4,350","21,750","11,149","898","","Herbalist","36","Priestess","32","Wizard","29","","","---","---","462","","---","---","---","54","---","8","---","","Divine Spark","---","4","Boreal Gale","---","3","","273","---","136","---","---","---","","---","---","---","---","","-20% Craft Time Reduction","4","-116 Herbs Spent","10","x1.25 Value Increase","18","-2 Essence Spent","30","Quality Chance x2","45","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","40","+25% Base ATK, DEF and HP","65","","-1 Divine Spark Spent","120","-14 Ether Spent","120","+10% Multicraft Chance","120","HP +34","120","DEF +22","120","+10% Base ATK, DEF and HP","120","","2,840","6,315","1,265","4,410","","December 22, 2024",""
"Divine Contained","Potion","Elysium Mega Pack","---","400","14","12,000,000","187,800","52:10:00","63.9","290,000","1.54","4,350","21,750","10,119","1,072","","Herbalist","36","Priestess","32","Wizard","29","","","---","---","465","","---","---","---","57","---","6","---","","Divine Spark","---","6","---","---","","","","327","136","---","---","---","","Light","---","---","---","","-20% Craft Time Reduction","4","-116 Herbs Spent","10","x1.25 Value Increase","18","-11 Ether Spent","30","Quality Chance x2","45","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","40","+25% Base ATK, DEF and HP","65","","-1 Divine Spark Spent","120","+20% Bonus Favor","120","+10% Multicraft Chance","120","HP +34","120","ATK +68","120","+10% Base ATK, DEF and HP","120","","2,930","6,515","1,305","4,410","","April 27, 2025",""
"Platinum Tankard","Potion","Platinum Chest","---","","14","24,000,000","187,800","52:10:00","127.8","290,000","1.54","4,350","21,750","9,276","680","","Herbalist","36","Priestess","32","Wizard","29","","","---","---","462","","---","---","155","57","---","---","---","","Platinum Bangles","---","5","Magma Core","---","3","","","---","136","---","---","---","","Gold","Ancestor Tradition","---","---","","-25% Craft Time Reduction","4","-116 Herbs Spent","10","x1.25 Value Increase","18","-39 Oils Spent","30","Quality Chance x2","45","","+10% Surcharge Value","5","x1.25 Value Increase","15","+20% Bonus Favor","25","+10% Multicraft Chance","40","Quality Chance x2","65","","-14 Ether Spent","120","-1 Platinum Bangles Spent","120","+10% Multicraft Chance","120","HP +34","120","ATK +68","120","+10% Base ATK, DEF and HP","120","","3,060","6,800","1,360","4,410","","September 10, 2025",""
"Grandma's Teapot","Potion","Cozy Comforts Mega Pack","---","400","14","12,500,000","222,000","61:40:00","56.31","305,000","1.37","4,575","22,875","12,699","924","","Herbalist","37","Cook","33","Wizard","30","","","---","---","469","","---","---","160","---","---","9","---","","Demigod Pinion","---","4","Overgrown Vine","---","4","","280","---","140","---","---","---","","Earth","---","---","---","","-30% Craft Time Reduction","4","x1.25 Value Increase","10","-40 Oils Spent","18","-117 Herbs Spent","25","Quality Chance x2","40","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","35","+25% Base ATK, DEF and HP","55","","-3 Essence Spent","120","-1 Demigod Pinion Spent","120","+10% Multicraft Chance","120","HP +35","120","DEF +22","120","+10% Base ATK, DEF and HP","120","","2,995","6,655","1,330","4,610","","August 17, 2025",""
"Primal Fire","Potion","---","275","","15","17,500,000","286,800","79:40:00","61.02","340,000","1.19","5,100","25,500","11,668","790","","Herbalist","38","Priestess","34","Wizard","31","","","---","---","363","","---","---","---","62","---","11","---","","Dinosaur Leather","---","4","Kingtoplasm","---","3","","","---","158","---","---","---","","Fire","---","---","---","","-30% Craft Time Reduction","4","x1.25 Value Increase","10","-16 Ether Spent","18","Blueprint: Microcosmos Infusion","25","Quality Chance x2","40","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","35","+25% Base ATK, DEF and HP","55","","-2 Essence Spent","130","-1 Dinosaur Leather Spent","130","+10% Multicraft Chance","130","HP +39","130","ATK +79","130","+10% Base ATK, DEF and HP","130","","3,520","7,825","1,565","5,035","","",""
"Ancient Waters","Potion","Prehistoric Chest","---","","15","18,500,000","286,800","79:40:00","64.5","340,000","1.19","5,100","25,500","16,449","1,035","","Herbalist","38","Priestess","34","Wizard","31","","","---","---","485","","---","---","---","62","---","11","---","","Marble Pillar","---","3","Kingtoplasm","---","3","","","---","207","---","---","---","","---","---","Maelstrom Element","---","","-25% Craft Time Reduction","4","-16 Ether Spent","10","x1.25 Value Increase","18","-3 Essence Spent","25","Quality Chance x2","40","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","35","+25% Base ATK, DEF and HP","55","","-97 Herbs Spent","130","-97 Herbs Spent","130","+10% Multicraft Chance","130","HP +39","130","ATK +79","130","+10% Base ATK, DEF and HP","130","","3,580","7,950","1,590","5,035","","",""
"Bubbling Cauldron","Potion","Whispering Bog Vol II Mega Pack","---","425","15","20,500,000","286,800","79:40:00","71.48","340,000","1.19","5,100","25,500","15,325","1,052","","Herbalist","38","Cook","34","Wizard","31","","","---","---","450","","---","---","171","---","---","11","---","","Mysterious Fossil","---","4","Man-goroots","---","4","","315","---","160","---","---","---","","Dark, Earth","---","---","---","","-30% Craft Time Reduction","4","x1.25 Value Increase","10","-43 Oils Spent","18","-1 Man-goroots Spent","25","Quality Chance x2","40","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","35","+25% Base ATK, DEF and HP","55","","-3 Essence Spent","130","-1 Mysterious Fossil Spent","130","+10% Multicraft Chance","130","HP +40","130","DEF +25","130","+10% Base ATK, DEF and HP","130","","3,785","8,415","1,685","5,035","","November 23, 2025",""
"Elemental Conflux","Potion","Spellblade Superior Pack","---","425","15","21,000,000","286,800","79:40:00","73.22","340,000","1.19","5,100","25,500","16,449","1,185","","Herbalist","38","Priestess","34","Wizard","31","","","---","---","485","","---","---","171","---","---","11","---","","Ancient Amber","---","4","Kingtoplasm","---","3","","","---","158","---","0.05","---","","All","---","---","---","","-30% Craft Time Reduction","4","x1.25 Value Increase","10","-121 Herbs Spent","18","-43 Oils Spent","25","Quality Chance x2","40","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","35","+25% Base ATK, DEF and HP","55","","-3 Essence Spent","130","-1 Ancient Amber Spent","130","+10% Multicraft Chance","130","HP +39","130","CRIT +2%","130","+10% Base ATK, DEF and HP","130","","3,825","8,505","1,700","5,035","","November 8, 2026",""
"Microcosmos Infusion","Potion","---","300","","16","34,500,000","399,000","110:50:00","86.47","375,000","0.94","5,625","28,125","19,373","835","","Herbalist","39","Priestess","35","Wizard","32","","","---","---","500","","---","---","---","65","---","---","13","","Alien Bulb","---","4","Xzyur Eye","---","4","","","---","167","---","---","---","","Dark","---","---","---","","-30% Craft Time Reduction","3","-125 Herbs Spent","8","x1.25 Value Increase","14","-16 Ether Spent","20","Quality Chance x2","30","","+20% Surcharge Value","5","-10% Surcharge Cost","10","+10% Multicraft Chance","20","x1.25 Value Increase","30","+25% Base ATK, DEF and HP","40","","-3 Stardust Spent","140","-1 Xzyur Eye Spent","140","+10% Multicraft Chance","140","HP +42","140","ATK +83","140","+10% Base ATK, DEF and HP","140","","4,235","9,410","1,880","5,470","","",""
"Mixture of Resentment","Potion","Tomb-Bound Chest","---","","16","35,000,000","470,400","130:40:00","74.4","390,000","0.83","5,850","29,250","23,907","855","","Herbalist","40","Priestess","36","Wizard","33","","","---","---","508","","---","---","187","---","---","---","14","","Alien Bulb","---","4","Paramount Gem","---","4","","","---","171","---","---","---","","---","Tomb-Born Malevolence","---","---","","-30% Craft Time Reduction","3","-47 Oils Spent","8","x1.25 Value Increase","14","-127 Herbs Spent","20","Quality Chance x2","30","","+20% Surcharge Value","5","-10% Surcharge Cost","10","+10% Multicraft Chance","20","x1.25 Value Increase","30","+25% Base ATK, DEF and HP","40","","-1 Paramount Gem Spent","140","-3 Stardust Spent","140","+10% Multicraft Chance","140","HP +43","140","ATK +86","140","+10% Base ATK, DEF and HP","140","","4,250","9,440","1,890","5,700","","December 15, 2026",""
"Scroll of Sparks","Spell","Wizard","---","","1","320","70","00:01:10","4.57","495","7.07","7","35","10","35","","Wizard","1","---","","---","","","","---","---","9","","---","---","---","---","---","---","---","","---","---","","---","---","","","44","---","---","---","---","---","","Fire","---","---","---","","x1.25 Value Increase","8","Blueprint: Scroll of Armor","20","-25% Craft Time Reduction","36","Quality Chance x2","55","Quality Chance x3","85","","+20% Surcharge Value","10","-10% Surcharge Cost","30","x1.25 Value Increase","50","+10% Multicraft Chance","75","Quality Chance x2","120","","-25% Craft Time Reduction","5","+20% Multicraft Chance","5","Quality Chance x3","5","ATK +4","5","HP +1","5","+10% Base ATK, DEF and HP","5","","15","30","5","40","","",""
"Scroll of Cleansing","Spell","Wooden Chest","---","","1","1,400","100","00:01:40","14","840","8.4","13","65","15","67","","Wizard","1","---","","---","","","","---","---","12","","---","---","---","---","---","---","---","","---","---","","---","---","","","84","---","---","---","---","---","","---","---","Light Element","---","","x1.25 Value Increase","8","-2 Herbs Spent","20","-25% Craft Time Reduction","36","Quality Chance x2","55","Quality Chance x3","85","","+20% Surcharge Value","10","-10% Surcharge Cost","30","x1.25 Value Increase","50","+10% Multicraft Chance","75","Quality Chance x2","120","","-2 Herbs Spent","5","+10% Multicraft Chance","5","Quality Chance x3","5","ATK +6","5","HP +2","5","+10% Base ATK, DEF and HP","5","","20","45","10","55","","",""
"Scroll of Armor","Spell","---","1","","2","1,050","200","00:03:20","5.25","1,900","9.5","29","145","19","106","","Wizard","3","---","","---","","","","---","---","16","","---","---","---","---","---","---","---","","Breastplate","Normal","1","---","---","","","96","24","---","---","---","---","","---","---","---","---","","x1.25 Value Increase","5","-25% Craft Time Reduction","14","Blueprint: Scroll of Storms","24","Quality Chance x2","40","Quality Chance x3","60","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","35","+10% Multicraft Chance","55","Quality Chance x2","85","","-1 Breastplate Spent","5","+10% Multicraft Chance","5","Quality Chance x3","5","ATK +10","5","DEF +8","5","+10% Base ATK, DEF and HP","5","","25","55","10","90","","",""
"Scroll of Storms","Spell","---","4","","3","2,750","500","00:08:20","5.5","4,400","8.8","66","330","35","125","","Wizard","6","---","","---","","","","---","13","26","","---","---","---","---","---","---","---","","Precious Gem","---","1","---","---","","","156","---","---","---","---","---","","Air","---","---","---","","x1.5 Value Increase","5","-25% Craft Time Reduction","14","Blueprint: Song of Valor","24","-5 Herbs Spent","40","Quality Chance x3","60","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","35","+10% Multicraft Chance","55","Quality Chance x2","85","","-1 Precious Gem Spent","10","+10% Multicraft Chance","10","Quality Chance x3","10","ATK +16","10","HP +5","10","+10% Base ATK, DEF and HP","10","","40","90","20","165","","",""
"Song of Valor","Spell","---","6","","4","6,900","1,050","00:17:30","6.57","8,150","7.76","122","610","93","176","","Wizard","9","---","","---","","","","---","20","41","","---","---","8","---","---","---","---","","Living Root","---","2","---","---","","","220","---","---","---","---","---","","---","---","---","---","","x1.25 Value Increase","6","-25% Craft Time Reduction","16","Blueprint: Monster Manual","28","-8 Herbs Spent","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","Quality Chance x2","100","","-2 Oils Spent","15","+10% Multicraft Chance","15","-1 Living Root Spent","15","ATK +22","15","HP +7","15","+10% Base ATK, DEF and HP","15","","65","140","30","260","","",""
"Correspondence","Spell","Victorian Mega Pack","---","100","4","13,500","1,320","00:22:00","10.23","9,650","7.31","145","725","129","250","","Wizard","10","---","","---","","","","---","25","49","","---","---","10","---","---","---","---","","Silver Dust","---","5","---","---","","","240","48","---","---","---","---","","---","---","---","---","","x1.25 Value Increase","6","-25% Craft Time Reduction","16","-10 Herbs Spent","28","-5 Leather Spent","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","Quality Chance x2","100","","-2 Oils Spent","15","-2 Silver Dust Spent","15","+10% Multicraft Chance","15","ATK +24","15","DEF +19","15","+10% Base ATK, DEF and HP","15","","85","190","40","295","","November 29, 2020",""
"Monster Manual","Spell","---","12","","5","15,000","1,680","00:28:00","8.93","11,500","6.85","173","865","156","216","","Wizard","11","Herbalist","1","---","","","","---","30","60","","---","---","12","---","---","---","---","","Deep Pearl","---","3","Precious Gem","---","2","","270","---","---","---","---","---","","---","---","---","---","","-25% Craft Time Reduction","7","x1.25 Value Increase","16","Blueprint: Tome of Secrets","30","-12 Herbs Spent","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","Quality Chance x2","100","","-2 Oils Spent","20","+10% Multicraft Chance","20","-2 Precious Gem Spent","20","ATK +27","20","HP +8","20","+10% Base ATK, DEF and HP","20","","90","200","40","335","","",""
"Tome of the Night","Spell","Slimy Chest","---","","5","31,000","2,040","00:34:00","15.2","13,000","6.37","195","975","150","278","","Wizard","12","Herbalist","6","---","","","","---","36","71","","---","---","---","---","---","---","---","","Rustwyrm Scale","---","5","---","---","","","347","---","---","---","---","---","","---","---","Unholy Element","---","","-25% Craft Time Reduction","7","x1.25 Value Increase","16","-14 Herbs Spent","30","-7 Leather Spent","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","Quality Chance x2","100","","-1 Rustwyrm Scale Spent","20","+10% Multicraft Chance","20","-1 Rustwyrm Scale Spent","20","ATK +29","20","HP +9","20","+10% Base ATK, DEF and HP","20","","105","235","45","375","","",""
"Tome of Knowledge","Spell","Back to School Pack","---","120","5","22,000","2,040","00:34:00","10.78","13,000","6.37","195","975","223","302","","Wizard","12","Herbalist","6","---","","","","---","36","71","","---","---","16","---","---","---","---","","Living Root","---","4","---","---","","","290","58","---","---","---","---","","---","Owl Wisdom","---","---","","-25% Craft Time Reduction","7","-14 Herbs Spent","16","x1.25 Value Increase","30","-1 Living Root Spent","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","Quality Chance x2","100","","-18 Leather Spent","20","+10% Multicraft Chance","20","-8 Oils Spent","20","ATK +29","20","DEF +23","20","+10% Base ATK, DEF and HP","20","","110","245","50","375","","February 23, 2020",""
"Jumanji Map","Spell","Content Pass: Jumanji","---","120","5","24,000","2,040","00:34:00","11.76","13,000","6.37","195","975","223","348","","Wizard","12","Herbalist","6","---","","","","---","36","71","","---","---","16","---","---","---","---","","Living Root","---","5","---","---","","","290","---","---","0.05","---","---","","Earth","Cat Grace","---","---","","-25% Craft Time Reduction","7","-14 Herbs Spent","16","x1.25 Value Increase","30","-2 Living Root Spent","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","Quality Chance x2","100","","-9 Leather Spent","20","+10% Multicraft Chance","20","-8 Oils Spent","20","ATK +29","20","HP +9","20","+10% Base ATK, DEF and HP","20","","115","255","50","375","","September 20, 2026",""
"Tome of Secrets","Spell","---","17","","6","32,500","3,300","00:55:00","9.85","17,000","5.15","255","1,275","349","272","","Wizard","14","Herbalist","10","---","","","","---","49","99","","---","---","25","---","---","---","---","","Moon Crystal","---","2","White Sand","---","3","","340","---","---","---","---","---","","---","---","---","---","","-25% Craft Time Reduction","7","-20 Herbs Spent","16","Blueprint: Bagua Board","30","x1.25 Value Increase","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","Quality Chance x2","100","","-5 Oils Spent","25","+10% Multicraft Chance","25","-1 Moon Crystal Spent","25","ATK +34","25","HP +11","25","+10% Base ATK, DEF and HP","25","","135","295","60","465","","",""
"Naughty or Nice List","Spell","Holiday Pack","---","140","6","44,500","4,200","01:10:00","10.6","19,500","4.64","293","1,465","465","356","","Wizard","15","Herbalist","11","---","","","","---","45","113","","---","---","29","---","---","---","---","","Iron Pine Cone","---","6","White Sand","---","3","","370","---","12","---","---","---","","---","Christmas Spirit","---","---","","-25% Craft Time Reduction","7","-23 Herbs Spent","18","x1.25 Value Increase","32","-6 Oils Spent","50","Quality Chance x2","80","","+20% Surcharge Value","10","-10% Surcharge Cost","25","x1.25 Value Increase","45","+10% Multicraft Chance","70","Quality Chance x2","110","","-3 Iron Pine Cone Spent","25","+10% Multicraft Chance","25","-2 White Sand Spent","25","ATK +37","25","HP +11","25","+10% Base ATK, DEF and HP","25","","155","340","70","515","","June 6, 2020",""
"Spells Vol III","Spell","---","---","","6","38,500","4,800","01:20:00","8.02","22,000","4.58","330","1,650","588","426","","Wizard","16","Herbalist","12","---","","","","---","63","133","","---","---","33","---","---","---","---","","White Sand","---","3","Glow Shroom","---","3","","333","133","---","---","---","---","","---","---","---","---","","-25% Craft Time Reduction","7","x1.25 Value Increase","18","-13 Leather Spent","32","-13 Oils Spent","50","Quality Chance x2","80","","+20% Surcharge Value","10","-10% Surcharge Cost","25","x1.25 Value Increase","45","+10% Multicraft Chance","70","Quality Chance x2","110","","-20 Herbs Spent","25","+10% Multicraft Chance","25","-20 Oils Spent","25","ATK +33","25","DEF +27","25","+10% Base ATK, DEF and HP","25","","145","320","65","565","","",""
"Dark Oath","Spell","Cursed King Mega Pack II","---","140","6","46,500","4,800","01:20:00","9.69","22,000","4.58","330","1,650","566","468","","Wizard","16","Herbalist","12","---","","","","---","63","127","","---","---","33","---","---","---","---","","Moon Crystal","---","3","Elven Wood","---","4","","390","---","---","---","0.05","---","","Dark","---","---","---","","-25% Craft Time Reduction","7","-25 Herbs Spent","18","x1.25 Value Increase","32","-7 Oils Spent","50","Quality Chance x2","80","","+20% Surcharge Value","10","-10% Surcharge Cost","25","x1.25 Value Increase","45","+10% Multicraft Chance","70","Quality Chance x2","110","","-1 Moon Crystal Spent","25","+10% Multicraft Chance","25","-2 Elven Wood Spent","25","ATK +39","25","CRIT +2%","25","+10% Base ATK, DEF and HP","25","","160","350","70","565","","March 1, 2026",""
"Bound Lesser Demon","Spell","Demonic Mega Pact (Pack)","---","140","6","50,000","4,800","01:20:00","10.42","22,000","4.58","330","1,650","566","377","","Wizard","16","Herbalist","12","---","","","","---","63","127","","---","---","33","---","---","---","---","","Bronze Fang","---","4","Webbed Wing","---","2","","390","---","13","---","---","---","","Dark, Fire","---","---","---","","-25% Craft Time Reduction","7","-25 Herbs Spent","18","x1.25 Value Increase","32","-13 Leather Spent","50","Quality Chance x2","80","","+20% Surcharge Value","10","-10% Surcharge Cost","25","x1.25 Value Increase","45","+10% Multicraft Chance","70","Quality Chance x2","110","","-2 Bronze Fang Spent","25","+10% Multicraft Chance","25","-7 Oils Spent","25","ATK +39","25","HP +12","25","+10% Base ATK, DEF and HP","25","","160","360","70","565","","November 29, 2026",""
